,xl,yl,xr,yr
95,21.274352710887733,0.8708256020104285,21.60564728911227,-2.1108256020104283
96,21.740536542532634,0.9060005853873488,21.95946345746737,-2.0860005853873487
97,22.18691616942989,0.928218526687345,22.333083830570114,-2.0682185266873447
98,22.622511713259694,0.9395314696121841,22.697488286740306,-2.0595314696121845
99,23.106574488682064,0.929554035964575,23.033425511317937,-2.069554035964575
100,23.48,0.93,23.48,-2.07
101,23.94,0.93,23.94,-2.07
102,24.4,0.93,24.4,-2.07
103,24.784295833080566,0.9395750106162042,24.855704166919434,-2.0595750106162045
104,25.331243220522754,0.9296745850921683,25.268756779477247,-2.069674585092168
105,25.77408210802994,0.919612753317414,25.705917891970056,-2.079612753317414
106,26.291173554271463,0.8987520796508662,26.168826445728538,-2.098752079650866
107,26.828083032927204,0.8674115597624937,26.651916967072793,-2.1274115597624936
108,27.362088771152628,0.8112166946041849,27.03791122884737,-2.171216694604185
109,27.902132034355965,0.73492424049175,27.477867965644037,-2.23492424049175
110,28.375662995479694,0.6629282560094171,27.924337004520304,-2.302928256009417
111,28.948621691081517,0.551970624515736,28.371378308918484,-2.391970624515736
112,29.435395686727983,0.44428059027592903,28.784604313272016,-2.484280590275929
113,29.946493975840497,0.3093524094018696,29.1735060241595,-2.5893524094018696
114,30.46,0.15999999999999992,29.619999999999997,-2.7199999999999998
115,30.934379071191188,0.006307147230079968,30.00562092880881,-2.84630714723008
116,31.395372296895296,-0.16131572181951848,30.364627703104702,-2.9786842781804816
117,31.887086014531153,-0.35728496367211116,30.772913985468843,-3.142715036327889
118,32.342985093052796,-0.5565339547130732,31.1370149069472,-3.3034660452869264
119,32.774654024449575,-0.742906469695714,31.58534597555042,-3.4970935303042863
120,33.16671096051728,-0.9095036223122888,31.99328903948272,-3.6704963776877113
121,33.61465402444958,-1.1029064696957118,32.42534597555043,-3.8570935303042884
122,34.0329850930528,-1.2865339547130756,32.8270149069472,-4.033466045286925
123,34.46465402444958,-1.4729064696957153,33.275345975550415,-4.227093530304285
124,34.91358522185243,-1.6850837434685617,33.62641477814758,-4.394916256531438
125,35.378815198007416,-1.9124234586212008,34.06118480199258,-4.607576541378799
126,35.81381380470849,-2.1349349527120003,34.44618619529152,-4.805065047288
127,36.25287812465824,-2.37567613698503,34.807121875341764,-5.00432386301497
128,36.68827819602086,-2.6131566406284255,35.25172180397914,-5.246843359371574
129,37.06725084848488,-2.8119031457430848,35.67274915151511,-5.468096854256915
130,37.544419459467505,-3.0656914162010764,36.1355805405325,-5.714308583798923
131,37.907635448032124,-3.241847331534153,36.592364551967876,-5.938152668465847
132,38.314900370588525,-3.435709221764104,37.02509962941148,-6.144290778235896
133,38.70218376324614,-3.58933490144377,37.57781623675386,-6.3706650985562305
134,39.17218376324614,-3.7793349014437685,38.04781623675386,-6.560665098556232
135,39.58997521130744,-3.933008251756329,38.55002478869256,-6.746991748243671
136,40.05020412248166,-4.099435661374242,39.02979587751834,-6.920564338625757
137,40.52077071336689,-4.266059162258188,39.51922928663311,-7.093940837741812
138,41.02923017660271,-4.445514499625667,40.03076982339729,-7.274485500374333
139,41.510770713366895,-4.61605916225819,40.5092292866331,-7.443940837741811
140,42.02237363953683,-4.789677616919318,41.05762636046317,-7.630322383080682
141,42.52285409985805,-4.959840882770431,41.55714590014195,-7.800159117229569
142,43.0778593173864,-5.155031413743915,42.0821406826136,-7.984968586256086
143,43.56165905314081,-5.322865082123553,42.57834094685919,-8.157134917876448
144,44.11194451712464,-5.509531949527375,43.148055482875364,-8.350468050472625
145,44.616108284461134,-5.6742570122365334,43.68389171553886,-8.525742987763467
146,45.169013770619685,-5.8519571580721035,44.25098622938032,-8.708042841927897
147,45.64574097695327,-5.988764613228659,44.81425902304672,-8.87123538677134
148,46.21259945536406,-6.14228950834504,45.427400544635944,-9.03771049165496
149,46.73644323817559,-6.278004652751299,45.98355676182441,-9.181995347248701
150,47.2826509918,-6.3929453461692445,46.6573490082,-9.327054653830755
151,47.778111788796735,-6.486007519377294,47.221888211203265,-9.433992480622706
152,48.340662345161306,-6.5810921635483055,47.8393376548387,-9.538907836451695
153,48.829381419510874,-6.6420031324145725,48.45061858048913,-9.617996867585429
154,49.38175965314602,-6.6976967440640625,49.078240346853974,-9.682303255935937
155,49.93883251322952,-6.7455428465375915,49.681167486770484,-9.73445715346241
156,50.40551749076482,-6.761027749349849,50.29448250923518,-9.75897225065015
157,50.898840821347015,-6.77027728995523,50.84115917865298,-9.76972271004477
158,51.45678144462532,-6.780239100981833,51.40321855537468,-9.779760899018166
159,51.97884082134701,-6.790277289955229,51.92115917865299,-9.789722710044769
160,52.46,-6.789999999999999,52.46,-9.79
161,52.99,-6.789999999999999,52.99,-9.79
